term_setswana,english,category,confidence,notes,verified_by
kgomo,"cow; head of cattle",animal,high,"plural: dikgomo",
podi,goat,animal,high,"plural: dipodi",
nku,sheep,animal,high,"plural: dinku",
phologolo,animal,animal,high,"plural: diphologolo",
namane,calf,animal,medium,"",
modisa,"herder; one who watches the herd",role,high,"plural: badisa. The project is named for this word.",
ngaka ya diphologolo,"animal doctor; veterinarian",role,medium,"ngaka = doctor",
lesaka,"kraal; livestock enclosure",place,high,"",
moraka,cattlepost,place,high,"the outlying grazing settlement where herds are kept",
masimo,"the lands; ploughing fields",place,high,"",
metsi,water,resource,high,"",
mafisa,"the loaning of cattle to another household to keep and use",institution,high,"An indigenous institution with direct relevance to custody records and theft disputes: the person holding the animal is not the person who owns it. SmartHerd.ai's custody model must represent this or it will mislabel a lawful transfer as a theft.",
letlotlo,"wealth; treasure",concept,high,"as in the national programme name Thuo Letlotlo",
go fula,to graze,behaviour,high,"",
go sala morago,"to lag behind; to remain behind",behaviour,high,"The single most-cited early illness sign in herder practice. Maps to the herd_dist_m channel. See badisa_indicators.md indicator 1.",
bolwetse,"disease; illness",health,high,"",
tlhako,hoof,anatomy,high,"plural: ditlhako",
molomo,mouth,anatomy,high,"",
dinao,feet,anatomy,high,"singular: lonao",
letshoroma,fever,health,low,"UNVERIFIED. Do not use in farmer-facing text until confirmed.",
bogodu,theft,security,high,"",
legodu,thief,security,high,"",
,"foot-and-mouth disease",disease,,"GAP. Commonly rendered descriptively as a disease of the feet and mouth, but the form used by farmers in each district varies. Ask badisa and the district DVS office; do not invent a term.",
,anthrax,disease,,"GAP. Zoonotic and notifiable — a wrong term here is a safety problem, not a translation problem. Must come from DVS.",
,rabies,disease,,"GAP. Zoonotic. Must come from DVS.",
,"lumpy skin disease",disease,,"GAP.",
,blackleg,disease,,"GAP.",
,"contagious bovine pleuropneumonia",disease,,"GAP.",
,brucellosis,disease,,"GAP. Zoonotic.",
,"to chew the cud; rumination",behaviour,,"GAP. Corresponds to badisa_indicators.md indicator 5, the highest-value sign we cannot yet sense.",
,"dip tank",place,,"GAP. Needed because the weekly drive to the dip tank is the main false-positive source for theft alerts.",
