Disease_ID,Disease,Disease_Type,Causative_Agent,Main_Animals_Affected,Transmission_or_Risk_Factors,Key_Properties_and_Signs,Treatment_or_Control,Prevention_Methods,Zoonotic_Risk,SADC_2011_Outbreaks,SADC_2011_Cases,SADC_2011_Deaths,SADC_2011_Destroyed,SADC_2011_Slaughtered,SADC_Yearbook_Source,Reference_and_Data_Notes,Botswana_Wildlife_Context_Species,Wildlife_Population_Context,Wildlife_Digest_2014_Source_and_Limitation
1,Actinomycosis,Bacterial,Actinomyces bovis,Cattle; occasionally other mammals,Normal oral bacteria enter through wounds caused by coarse feed or damaged teeth,Chronic hard swelling of the jaw; draining tracts; difficulty eating,"Early, prolonged veterinary antimicrobial treatment; iodide therapy or surgery may be used in selected cases",Reduce oral injuries; provide safe feed; identify and treat early,Low/rare,11,12,1,,,Annex p.57,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
2,African horse sickness,Viral; vector-borne,"African horse sickness virus, an Orbivirus","Horses, mules, donkeys and zebras; horses are most severely affected",Culicoides biting midges; seasonal vector activity and animal movement,Acute fever; respiratory distress; facial or lung oedema; cardiac signs; high mortality in horses,No specific antiviral cure; intensive supportive care and official movement/vector controls,Vaccination under official programmes in endemic areas; stable animals during peak vector activity; insect control and movement restrictions,No,745,1302,525,2,,"Annex p.57; Section 5.1, pp.11-13","Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Zebra,"Zebra: 99,077 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
3,African swine fever,Viral,"African swine fever virus, family Asfarviridae",Domestic pigs and wild suids,Direct contact; infected pork or swill; carcasses; fomites; some soft ticks,High fever; skin reddening; haemorrhage; weakness; sudden death; very high case fatality in virulent outbreaks,"No routine curative treatment; isolate and report immediately; official culling, tracing and movement controls may be required",Strict farm biosecurity; safe feed and swill controls; carcass disposal; cleaning; prevent contact with wild pigs; follow current official vaccine policy,No,171,152503,139820,987,9710,"Annex p.57; Section 5.2, pp.13-15","Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Warthog,"Warthog: 7,026 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
4,Anthrax,Bacterial; spore-forming,Bacillus anthracis,"Herbivores, especially cattle, sheep, goats and wildlife; humans can be infected","Ingestion or inhalation of long-lived spores; contaminated soil, carcasses or animal products",Sudden death; fever; dark unclotted blood from body openings; rapidly decomposing carcass,Early veterinary antibiotics may work before advanced disease; do not open suspect carcasses; quarantine and dispose of carcasses under official direction,Vaccinate in endemic areas; avoid disturbing carcasses; disinfect contaminated materials; control access to contaminated sites,Yes,68,550,567,,,"Annex p.57; Section 6.2, pp.34-36","Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence. The annex death figure exceeds cases and differs from the narrative mortality calculation; it is retained exactly as printed.",Buffalo; Elephant; Hippo; Kudu; Eland; Wildebeest; Zebra; Gemsbok; Impala; Lechwe,"Buffalo: 61,105 (2012 countrywide estimate); Elephant: 207,545 (2012 countrywide estimate); Hippo: 3,633 (2012 countrywide estimate); Kudu: 23,038 (2012 countrywide estimate); Eland: 34,735 (2012 countrywide estimate); Wildebeest: 53,159 (2012 countrywide estimate); Zebra: 99,077 (2012 countrywide estimate); Gemsbok: 133,249 (2012 countrywide estimate); Impala: 114,900 (2012 countrywide estimate); Lechwe: 26,322 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
5,Avian chlamydiosis,Bacterial,Chlamydia psittaci,Domestic and wild birds; humans,"Inhalation of contaminated feather dust, respiratory secretions or dried droppings",Respiratory disease; conjunctivitis; diarrhoea; poor condition; some birds remain carriers,Prolonged veterinary tetracycline-class treatment and supportive care; manage exposed birds as a flock,Quarantine and test new birds; ventilation and hygiene; wet cleaning to reduce dust; PPE for handlers,Yes,1,13,,,,Annex p.57,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Ostrich,"Ostrich: 55,916 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
6,Avian infectious bronchitis,Viral,"Infectious bronchitis virus, an avian coronavirus",Chickens,"Highly contagious aerosols, direct contact and contaminated equipment",Coughing and nasal discharge; reduced growth; egg drop and poor shell quality; some strains damage kidneys,No specific antiviral cure; supportive care and treatment of confirmed secondary bacterial infections,"Vaccination with locally appropriate strains; all-in/all-out management; ventilation, cleaning and biosecurity",No,7,147,25,85,,Annex p.57,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",,,"No direct wildlife-host context was added for this disease. Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
7,Avian salmonellosis,Bacterial,"Salmonella species affecting poultry, including host-adapted and paratyphoid strains",Poultry; some strains infect humans,"Faecal-oral spread; contaminated feed, water and hatcheries; vertical transmission for some strains",Weak chicks; diarrhoea; septicaemia; poor hatchability; mortality; carrier birds,Supportive care and susceptibility-guided veterinary antimicrobials only when justified; eradication programmes often remove carrier flocks,Clean breeder stock and hatcheries; rodent control; feed and water hygiene; testing and vaccination where appropriate,Yes for many non-host-adapted strains,6,1492,185,,,Annex p.57,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Ostrich,"Ostrich: 55,916 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
8,Avian tuberculosis,Bacterial,Mycobacterium avium complex,"Poultry, captive birds and wild birds","Ingestion of organisms from contaminated soil, litter, faeces or carcasses; long environmental survival",Chronic wasting; weakness; reduced production; enlarged organs and granulomas,No practical flock-level cure; affected birds are normally removed and the environment managed,Prevent contact with contaminated soil and old poultry yards; sanitation; all-in/all-out systems; depopulation of persistently infected flocks,"Potential, mainly for immunocompromised people",1,3,1,,,Annex p.57,"Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Ostrich,"Ostrich: 55,916 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
9,Blackleg,Bacterial; clostridial,Clostridium chauvoei,"Young, rapidly growing cattle; sheep can be affected",Spores are ingested and lodge in muscle; tissue injury can trigger toxin production,Sudden death; fever; severe lameness; hot painful muscle swelling that becomes gas-filled and cold,"Very early high-dose veterinary antibiotics and supportive care may help, but cases are often found dead",Routine clostridial vaccination; safe carcass disposal; prompt booster vaccination after local outbreaks,No,463,3908,968,4,6,"Annex p.57; Section 7.1, pp.41-42","Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Buffalo; Eland; Kudu; Wildebeest,"Buffalo: 61,105 (2012 countrywide estimate); Eland: 34,735 (2012 countrywide estimate); Kudu: 23,038 (2012 countrywide estimate); Wildebeest: 53,159 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
10,Bluetongue,Viral; vector-borne,"Bluetongue virus, an Orbivirus",Ruminants; clinical disease is usually most severe in sheep,Culicoides biting midges; risk rises with vector abundance and movement of infected animals,Fever; facial swelling; mouth lesions; salivation; lameness; reproductive loss; cattle may be subclinical reservoirs,"No specific antiviral cure; supportive care, shade, soft feed and management of complications",Vector control; movement controls; serotype-matched vaccination where authorised,No,70,1405,478,21,,"Annex p.57; Section 5.3, pp.16-17","Clinical summaries: WOAH Animal Diseases portal: https://www.woah.org/en/what-we-do/animal-health-and-welfare/animal-diseases/; MSD Veterinary Manual: https://www.msdvetmanual.com/. Historical figures are transcribed from the SADC annex as printed. Blank numeric fields represent a dash in the source, which does not distinguish zero from not reported. Treatment is a general control summary, not a prescription; veterinary and national animal-health guidance takes precedence.",Eland; Kudu; Wildebeest; Gemsbok; Impala; Lechwe; Springbok; Hartebeest,"Eland: 34,735 (2012 countrywide estimate); Kudu: 23,038 (2012 countrywide estimate); Wildebeest: 53,159 (2012 countrywide estimate); Gemsbok: 133,249 (2012 countrywide estimate); Impala: 114,900 (2012 countrywide estimate); Lechwe: 26,322 (2012 countrywide estimate); Springbok: 35,688 (2012 countrywide estimate); Hartebeest: 62,569 (2012 countrywide estimate)","Statistics Botswana, Environment Statistics: Wildlife Digest 2014, species list and Table 1.2a (pp.10-11); white rhino context from Table 2.1 (pp.32-33). Context only: the digest reports wildlife populations, densities, poaching and fish statistics, not disease occurrence, causes, treatment or disease-specific mortality."
